city,year,n_obs,population,alpha,beta,kappa,delta,psi_at_center,p_at_center,psi_at_mean,p_at_mean,zero_ratio_obs,zero_ratio_pred,mean_nonzero_count,remoteness_mean,remoteness_std,remoteness_range,logLik,AIC,BIC,pseudo_R2,MSE,RMSE,MAE,fit_time_sec,n_iterations,convergence,fit_message
Kigali,2016,15992001,985604,0.2142582499524206,0.1359046388574789,-0.641011277,-0.084636166,0.5533605849269025,0.3450179745454969,0.9093559275935054,0.1252594308443842,0.9122323091400508,0.9121364369219688,2.0569129961149373,15.389745335438525,5.729043874681437,28.43477350435878,-6267350.375,12534708.7497377,12534767.10013457,-0.318026951,0.4648728283480461,0.6818158316936078,0.2875629145612671,159.52418279647827,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Conakry,2016,15996000,1755905,2.2193955858344965,0.0430702205994343,-0.260127957,-0.045118025,0.9019777700875378,0.4353322538406151,0.9377766140322692,0.3149729450424421,0.9390325706426608,0.939034594829094,3.022561741528965,11.455369100042477,4.26476234272034,21.16642048433965,-5570326.843,11140661.68605168,11140720.037448676,-0.516552096,0.720359011511149,0.8487396606210582,0.3438730312547242,129.0992488861084,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Abuja,2016,15992001,2591282,0.5493541430331526,0.1448661241369969,-0.627227838,-0.020287965,0.6339857342808226,0.3481393825393104,0.8717086345115066,0.3060518487493808,0.865782899838488,0.8657800380110796,2.9185426761088333,9.434898106645235,3.5124931313000967,17.430429582542786,-10339456.58,20678921.1699244,20678979.52032127,-0.639608759,1.3958721164389818,1.1814703197452665,0.6545309954419973,149.71529960632324,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Aba,2016,15988002,968995,-0.196940339,0.1732449927743304,-0.715178563,-0.063090351,0.4509234343005348,0.32845557837696,0.9232324636099346,0.1554314720207416,0.9075924558928626,0.9075685275024094,2.210667708127456,15.492739548798248,5.7674165095929455,28.624324952168468,-6513740.37,13027488.739599172,13027547.088995667,-0.322460655,0.5067922960293824,0.7118934583414729,0.3064897833666403,168.854590177536,13,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Brazzaville,2016,15992001,2044472,-0.203169499,0.1756236004511558,-0.175571061,-0.095376816,0.449381623599648,0.4562196385518988,0.841759658770656,0.2326171114983138,0.8338202330027368,0.8338400609521509,2.707196147424674,10.673673714384227,3.9734333326374207,19.722596223916355,-11597867.48,23195742.95039601,23195801.30079288,-0.612420685,1.428370118324905,1.1951443922492817,0.6754195809625322,160.73693561553955,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Freetown,2016,15992001,1073214,0.7455151569619032,0.1764188862701665,-0.711716725,-0.04439585,0.6782006900521456,0.3292196177783089,0.9655745007073736,0.2037384283622453,0.953157894374819,0.9531675193397864,2.4342203099990787,14.671958378091048,5.462103166335234,27.11246258651539,-3972060.434,7944128.868404327,7944187.218801198,-0.313405457,0.3529810827691108,0.5941221109915964,0.1975670026819443,143.0786509513855,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Mombasa,2016,15992001,1138846,0.3338679773531541,0.2043801217894059,-0.012024358,-0.091406074,0.5827002166079415,0.4969939468065881,0.9629299301936834,0.2109132200349163,0.9431344457769856,0.9431190591931424,3.0238741403616034,14.303263663547868,5.324598593961228,26.42969375914761,-4951130.151,9902268.301962778,9902326.65235965,-0.418529831,0.6780249194967454,0.823422685804044,0.2812501321127417,144.10168313980105,11,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Monrovia,2016,15988002,1317509,1.080426492534289,0.1173978917445974,-0.448249694,-0.097386932,0.7465746846051222,0.3897769974449546,0.9333053340738552,0.1492072604622936,0.9375071381652316,0.9375367077638108,2.1384115876116967,13.272648371682385,4.940992653127197,24.522820680644063,-5000737.968,10001483.935882624,10001542.28527912,-0.337971319,0.3854715867511813,0.6208635814341033,0.2411844756992526,140.99117851257324,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Lilongwe,2016,15996000,945082,-0.373082643,0.2560159876021085,-1.038805322,-0.061406143,0.4077963567814252,0.2613805736593153,0.9732182795479064,0.1202510914872067,0.948248749687422,0.9482271032407252,1.980276946605091,15.491108551793465,5.768910538463193,28.62605640340578,-3703971.645,7407951.289599248,7408009.640996244,-0.137086961,0.2637786621975851,0.5135938689252288,0.1643974491401551,181.18982458114624,15,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Niamey,2016,15992001,1142940,-1.163573016,0.4183119307047037,-0.795151992,-0.091728444,0.2380186558819312,0.3110635086831999,0.9912851086207364,0.1102314469450855,0.9535365211645496,0.9534699907852394,2.2194567212708805,14.098431239153411,5.249999933840135,26.05107808431015,-3049836.282,6099680.563454615,6099738.913851486,-0.014591037,0.2614784889288422,0.5113496738327328,0.1489133134826899,196.10294008255005,16,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Nouakchott,2016,15992001,1104876,-2.011257232,0.5539168832986653,-0.319541238,-0.13152974,0.1180260422804377,0.4207875557078094,0.9971144726273848,0.101098526673718,0.9509412862092742,0.950926360179846,2.723821517385192,14.183382683776657,5.285408915644034,26.208699030548285,-3089215.1,6178438.200712404,6178496.551109275,0.013088063119375,0.3633720829378141,0.6028035193475683,0.1653817365739202,190.53946232795715,16,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Bujumbura,2016,15992001,797334,0.070162120058677,0.2032904219402185,-0.384191908,-0.100109606,0.5175333379574214,0.4051162590859666,0.971982673907216,0.109475602357419,0.9528443626285416,0.9528048282910998,2.3925353362161905,17.10042567689008,6.3658753005364135,31.59509529414081,-3634215.001,7268438.001499092,7268496.351895963,-0.195727017,0.3306449282684929,0.5750173286680088,0.1758960827575596,165.8585889339447,13,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Oran,2016,15996000,865316,-0.047691704,0.2311859014820021,-0.263583701,-0.021818279,0.4880793333356222,0.4344829601216249,0.9678736652220566,0.3567557200663247,0.937395536384096,0.9373973521855516,3.5504288406174824,14.936538767245302,5.655349039466378,27.657222373114784,-5300697.286,10601402.57265932,10601460.924056316,-0.415688098,0.9063056465711458,0.952000864795377,0.3662993471327663,153.56847047805786,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
